pid,labels
104,"128,160,334,186,315"
105,"488,265,456,397,271,313"
106,"128,129,40,195"
107,"128,41,42,175,186"
108,"40,41,201,204,13"
109,"72,11,12,44,468"
110,"291,425,522,265,271"
111,"48,81,21,124,30"
112,"448,64,10,524,145"
113,"448,64,69,11,524,44,145"
114,"38,457,240,218,91"
115,"67,11,44,45,54,55"
116,"288,456,424,271,469,218"
117,"160,135,423,74,307,244"
118,"72,11,12,44,60,61"
119,"355,456,424,271,218"
120,"3,199,200,170,48,337,21,311"
121,"3,108,21"
122,"225,3,21,85,120,379"
123,"40,236,295,135"
124,"199,135,170,138,459,374"
125,"322,323,199,170,43,54,24"
126,"193,131,145,241,478"
127,"128,162,34,163,237,175"
128,"326,105,10,220,221"
129,"40,145,115,21,502"
130,"8,206,208,369,285"
131,"89,26,23"
132,"259,199,169,170,426,311"
133,"38,60,87,24,345,92"
134,"169,170,171,199"
135,"48,81,21,124,30"
136,"10,493,145,402,220"
137,"3,199,200,170,108,337,21,311"
138,"41,42,145,115,21,502"
139,"488,425,265,348,255"
140,"448,64,40,524,145"
141,"64,448,38,264,80"
142,"448,64,10,60,93"
143,"454,10,493,145,220,31"
144,"3,147,148,21,120,157"
145,"34,3,263,21,187"
146,"325,204,13,15,16,53"
147,"100,4,101,19,375"
148,"160,128,40,151,186,315"
149,"160,135,40,334,431"
150,"384,72,265,44,376"
151,"10,395,496,54,24,25"
152,"64,160,514,196,8,80"
153,"326,105,10,220,221"
154,"64,38,264,73,44,80"
155,"128,129,135,40,250"
156,"64,10,473,60,93"
157,"425,10,265,220,221"
158,"64,448,524,80,145"
159,"3,199,200,170,108,337,21,311"
160,"320,15,16,17,18"
161,"160,40,41,315,286"
162,"288,291,271,145,498,402"
163,"514,199,8,170,426,337,274,405,311"
164,"34,199,200,263,170,337,21,311,187"
165,"3,188,4,238"
166,"0,8,206,208,369"
167,"513,485,277,278,313"
168,"325,111,275,53,472"
169,"64,69,43,11,44,80,24"
170,"96,420,296,49,24,31"
171,"26,456,457,271,218,350"
172,"160,296,202,300,334,111"
173,"37,13,120,121,28,190"
174,"353,1,271,464,277,216,254"
175,"128,162,163,135,175,250"
176,"128,195,199,169,170,171"
177,"448,64,524,145,338"
178,"131,199,494,241,343,184"
179,"128,385,195,5,296,507"
180,"448,225,64,528,311,120"
181,"0,1,64,10,93"
182,"64,10,80,54,24,25"
183,"199,296,170,145,402,337,23,251"
184,"456,425,488,265,271"
185,"3,147,148,85,86"
186,"19,4,70,375"
187,"291,456,265,271,340"
188,"355,26,231,271,313,346"
189,"123,111,198,119"
190,"10,43,145,181,24,60"
191,"160,34,263,334,494,184"
192,"74,84,118,23"
193,"448,64,40,524,145"
194,"3,111,112,21,126"
195,"267,111,21,182,123"
196,"3,187,108,21"
197,"419,234,11,15,16,21,60"
198,"271,145,402,370,216,444"
199,"40,226,131"
200,"64,65,524,80,145"
201,"296,169,371,499"
202,"197,145,502,24,345,60"
203,"0,8,457,206,218"
204,"64,168,80,17,93"
205,"199,329,170,436,343"
206,"448,64,323,199,170,426,508"
207,"296,371,467,53,24,62"
208,"3,523,111,147,148,53"
209,"10,43,145,181,24,60"
210,"38,457,240,218,91"
211,"131,487,41,426,149,159"
212,"34,3,263,21,187"
213,"34,3,265,340,21,187"
214,"351,360,271,280,218,255"
215,"455,13,271,401,145,478"
216,"3,21,53,187,287"
217,"4,13,60,401,407,92"
218,"41,267,111,21,126,191"
219,"0,229,230,8,206"
220,"72,265,11,12,44,376"
221,"291,456,425,265,271"
222,"72,265,44,376,220,221"
223,"265,10,493,145,54,376"
224,"40,74,184,185,283"
225,"10,11,220,221"
226,"32,3,147,180,120,31"
227,"64,288,498,90,220,221"
228,"10,43,145,181,24,60"
229,"68,522,271,53,245,31"
230,"455,360,462,271,255"
231,"40,226,131,486"
232,"128,194,202,139,111,145,153"
233,"448,64,524,335,145"
234,"34,163,162,237,21,187"
235,"131,38,486,78,142"
236,"40,131,134"
237,"3,33,187,21"
238,"323,199,489,170,239,60"
239,"3,41,42,21,124"
240,"40,41,139,108,21,286"
241,"64,10,11,44,45,80,145"
242,"296,411,420,499"
243,"3,265,13,85,506,349"
244,"326,105,10,220,221"
245,"231,457,218,271,26,444"
246,"104,66,3,30"
247,"68,111,53,21,182,472"
248,"3,332,17,18,53"
249,"131,13,401,241,122"
250,"366,271,304,209,208,216"
251,"161,164,111,21,124"
252,"176,210,19,4"
253,"224,41,40,160"
254,"64,288,218,498,90,509"
255,"448,64,10,524,145"
256,"241,131,193,406"
257,"8,0,514,308"
258,"272,361,291,271"
259,"8,0,514,308"
260,"3,4,204,13,238"
261,"131,454,134,426,508,31"
262,"0,169,426,501,313"
263,"128,195,131,40,466"
264,"128,194,131,40,139,241,145"
265,"34,3,237,21,187"
266,"3,199,200,170,108,337,21,311"
267,"160,40,111,119,123"
268,"128,160,243,247,184,186"
269,"326,105,10,220,221"
270,"322,43,145,181,54,24"
271,"0,514,355,8,271"
272,"326,105,10,493,145,220"
273,"64,448,73,44,80"
274,"265,458,397,277,376,313"
275,"265,492,208,209,220,221"
276,"323,199,170,49,145,181,24"
277,"10,11,44,205,145,24,59"
278,"386,323,135,199,170,43,24"
279,"3,102,40,139,21"
280,"8,105,308,23,318"
281,"326,105,10,220,221"
282,"199,169,170,426,337,274,311"
283,"3,199,200,170,337,21,311"
284,"160,131,166,40,15,151,159"
285,"10,322,83,54"
286,"355,456,271,313,346"
287,"128,162,130,163,34,237"
288,"226,131,40,368,184"
289,"297,265,60,24,345,92"
290,"296,73,395,44,496,371"
291,"259,199,296,169,170,426,337,311,251"
292,"322,395,396,49,54,24"
293,"3,40,139,21,187"
294,"161,3,363,13,111,271"
295,"135,136,74,145,146,283"
296,"327,456,8,269,271,218"
297,"10,145,402,24,25,220"
298,"3,4,15,111,17,435,56"
299,"199,265,170,426,169,337,340,311,223"
300,"456,425,265,271,349"
301,"66,523,147,148,53,30"
302,"371,296,411,300"
303,"40,76,145,23,220,510"
304,"160,74,528,311,247,317"
305,"288,199,169,170,426,337,469,311,223"
306,"3,199,200,170,337,147,148,85,311"
307,"3,199,200,170,108,337,21,311"
308,"265,397,370,438,216,313"
309,"38,103,313,265,409,346"
310,"265,208,340,471,383"
311,"3,332,17,18,53"
312,"199,135,170,138,459,374"
313,"16,3,144,15"
314,"33,108,147,148,21"
315,"3,4,238"
316,"3,4,238,51,52"
317,"192,128,38,408,219,30"
318,"451,50,85,86,120,121"
319,"3,301,21,85,86"
320,"38,71,199,23,24,382"
321,"291,265,365,271,349"
322,"323,199,170,10,145,181,60"
323,"3,4,108,238,21"
324,"325,13,14,53,22,21"
325,"128,175,184,185,186"
326,"131,142,368,406,184"
327,"456,425,265,271,438"
328,"66,451,50,147,148,30"
329,"199,10,220,221,382"
330,"160,40,139,187,21,315"
331,"135,199,169,431,343"
332,"259,135,199,170,426,431,311,281"
333,"0,8,169,170,249,410"
334,"135,136,74,184,185,283"
335,"384,297,265,49,24"
336,"128,162,130,163,131,241"
337,"457,265,340,218,349"
338,"135,169,170,431,436,311"
339,"199,265,170,426,337,340,21,311,187,223"
340,"160,523,334,111,53,474"
341,"199,40,135,138,374"
342,"384,291,456,265,271"
343,"3,15,528,16,311"
344,"32,523,111,275,53,31"
345,"355,456,271,26,350"
346,"258,323,199,170,43,24,31"
347,"34,263,169,21,311,187"
348,"32,420,296,60,61,31"
349,"0,8,265,273,349"
350,"288,482,291,456,271"
351,"40,131,142,486"
352,"160,419,11,334,220,221"
353,"516,105,366,271,503"
354,"320,160,3,166,15,17,151"
355,"68,111,21,53,182,412"
356,"265,340,341,23"
357,"418,38,71,265,376,24"
358,"323,199,170,43,145,181,24"
359,"160,40,523,147,148,53"
360,"3,17,58,18"
361,"128,195,77,208,209,31"
362,"448,64,323,199,170,43,24"
363,"204,13,108,301,21"
364,"387,218,23,89,26"
365,"160,166,41,15,149,151,315"
366,"323,199,170,43,145,181,24"
367,"97,3,5,6"
368,"38,264,524,145,89,26"
369,"3,199,200,170,337,21,311"
370,"448,64,145,402,54,55"
371,"41,42,265,340,21,187"
372,"199,265,170,426,337,340,21,311,187,223"
373,"40,226,131"
374,"160,131,166,40,15,406,151"
375,"3,199,200,170,108,337,21,311"
376,"64,69,10,11,44,80"
377,"4,77,111,407,412,31"
378,"17,21,3,187"
379,"355,455,265,271,438"
380,"64,38,137,105,80,318"
381,"64,67,10,11,44,80,54"
382,"323,199,170,43,145,181,24"
383,"3,187,21,126"
384,"296,499,300,411"
385,"0,418,8,265,206,249"
386,"128,195,234,145,402,21,60"
387,"425,265,21,182,376"
388,"68,53,21,182,187"
389,"3,301,21,85,158"
390,"416,172,111,21,53,474"
391,"34,3,21,187,447"
392,"34,116,21,187,447"
393,"161,74,303,111,21,182"
394,"68,111,21,182,53,472"
395,"160,1,34,263,334,277,413"
396,"265,76,340,21,23,187"
397,"34,4,263,19,375"
398,"32,3,15,177,30,31"
399,"3,4,15,16,19"
400,"41,111,21,472,126,286"
401,"0,8,206,208,369,249"
402,"448,64,296,333,336"
403,"40,226,131"
404,"417,296,74,526,118"
405,"68,111,21,53,182,472"
406,"455,199,169,170,296,271,337,251"
407,"64,38,105,106,80,309"
408,"64,43,461,80,24"
409,"128,195,77,145,478,31"
410,"131,40,41,139,406,286"
411,"32,418,514,8,265,31"
412,"418,457,425,265,218"
413,"128,194,131,145,21,406,187"
414,"199,111,112,15,17,343,56"
415,"34,3,21,187,447"
416,"131,40,76,241,23"
417,"199,170,337,339,436,343"
418,"66,169,170,21,187,30"
419,"184,185,40,368"
420,"336,296,452,333"
421,"336,296,411,300"
422,"64,10,11,80,313,346"
423,"66,3,21,30"
424,"265,111,112,340,28,29"
425,"80,473,64,93"
426,"131,38,78,241,406"
427,"160,324,41,151,152,315"
428,"40,145,402,54,55"
429,"199,426,427,311,312,343"
430,"326,105,10,220,221"
431,"40,76,23,28,190"
432,"259,199,135,169,170,426,431,311"
433,"160,131,166,15,151,315,159"
434,"38,264,10,44,145,54,55"
435,"326,105,10,220,221"
436,"3,108,21"
437,"323,199,170,10,145,181,54"
438,"514,291,231,8,271,26"
439,"160,324,41,151,152,315"
440,"240,264,91,38"
441,"64,323,199,170,80,93"
442,"494,111,245,184,412,31"
443,"128,195,40,76,23"
444,"448,64,80,24,25"
445,"135,199,169,431,281"
446,"128,194,139,145,21,153,187"
447,"484,265,376,220,221,255"
448,"128,38,71,175,24,185,184"
449,"448,64,43,145,181,24"
450,"41,108,21,22,286"
451,"128,194,187,145,21,379"
452,"34,3,17,18,447"
453,"38,71,296,60,336,24,92"
454,"201,74,41,111,404,283"
455,"197,38,137,493,145,60"
456,"4,7,108,238,21"
457,"66,204,13,21,30,126"
458,"32,74,84,316,30,31"
459,"3,199,200,170,48,337,21,311"
460,"34,3,21,187,447"
461,"456,425,360,265,271"
462,"66,199,104,200,170,337,311,30"
463,"66,3,204,13,30"
464,"290,74,84,24,25,31"
465,"128,194,100,133,5,145,222"
466,"40,395,76,23"
467,"224,41,40,160"
468,"8,206,208,369,285"
469,"128,175,184,185,186"
470,"34,3,199,200,263,170,15,337,311"
471,"4,238,277,182,278,21"
472,"199,74,21,118,281,124"
473,"41,42,204,13,21,182"
474,"240,137,38,87"
475,"493,48,145,21,124"
476,"38,169,137,170,21,187"
477,"131,241,115,21,187"
478,"323,199,170,43,145,181,24"
479,"0,8,206,208,369"
480,"111,21,182,472,123"
481,"326,105,10,493,145,220"
482,"40,131,132,134"
483,"8,206,145,402,83,54"
484,"320,17,18,58"
485,"0,391,8,235,216"
486,"514,231,488,8,265,26"
487,"352,321,288,271,469"
488,"128,194,34,263,105,145,503"
489,"32,3,147,180,120,31"
490,"34,228,5,57,447"
491,"160,40,41,315,286"
492,"199,169,170,459,171"
493,"352,288,0,271,469,216"
494,"41,15,17,51,52,56,286"
495,"4,101,100,13,401,19"
496,"4,7,108,301,21"
497,"320,128,194,208,145,17,471"
498,"131,38,137,241,406"
499,"0,8,206,208,369"
500,"193,131,60,24,92,62"
501,"64,322,8,80,405,54"
502,"199,111,21,284,124,382"
503,"34,4,263,435,21,187"
504,"10,242,24,25,220"
505,"401,204,13,14"
506,"34,3,265,340,21,187"
507,"296,3,452,85"
508,"64,38,264,80,54,95"
509,"322,49,83,54,24"
510,"108,21,126,127"
511,"10,21,187,220,221"
512,"3,204,13,401,21"
513,"34,3,115,21,187"
514,"10,43,145,181,24"
515,"128,160,184,185,186,315"
516,"97,3,5,6"
517,"449,271,211,212,216,254"
518,"265,10,376,220,221"
519,"135,329,138,170,243,184"
520,"160,356,166,199,41,15,149,151"
521,"128,195,40,265,340"
522,"128,199,40,41,374,186"
523,"40,131,134"
524,"34,131,237,494,241,184"
525,"160,131,334,315,159"
526,"260,104,169,170,30"
527,"139,204,13,301,21,153"
528,"33,35,36,147,148,21"
529,"327,8,206,208,369"
530,"128,130,296,306,313,346"
531,"34,3,21,278,277,187"
532,"10,11,205,220,221"
533,"199,200,41,170,48,337,21,311,191"
534,"38,71,201,41,240,24"
535,"128,194,3,40,139,145,21"
536,"160,74,334,303,111,284"
537,"128,194,34,263,145,21,187"
538,"40,226,131"
539,"323,199,170,43,145,181,24"
540,"323,199,170,239,49,24,60"
541,"33,293,147,148,21,85"
542,"199,169,426,170,171,508"
543,"64,448,10,11,80"
544,"199,296,169,170,337,251"
545,"64,38,264,80,145,402"
546,"160,40,145,146,315"
547,"199,231,169,170,26"
548,"38,231,8,308,440,26"
549,"199,329,170,436,343"
550,"371,296,411,499"
551,"1,2,169,277,278,311"
552,"34,3,99,51,53,447"
553,"325,523,147,148,53"
554,"73,10,11,44,109"
555,"259,199,135,169,170,426,431,311"
556,"38,8,457,240,308,218"
557,"38,71,72,74,44,24,317"
558,"355,456,8,271,308"
559,"387,291,457,271,218"
560,"514,231,8,26,350"
561,"355,457,271,218,446"
562,"265,269,208,471,218,349"
563,"326,105,10,220,221"
564,"288,0,128,195,265,340"
565,"64,72,11,12,44,90"
566,"0,313,346,501"
567,"160,40,184,185,315"
568,"0,457,265,438,249,218"
569,"40,226,131,132"
570,"66,3,325,15,53,30"
571,"72,233,44,51,220,221"
572,"0,359,271,213,313,511"
573,"128,135,175,21,182,250"
574,"224,160,41,111,247,474"
575,"40,41,139,316,30"
576,"204,13,207,21,22,28"
577,"34,3,199,200,170,337,21,311,447"
578,"21,3,108,301"
579,"128,194,3,34,263,145,85"
580,"162,163,34,237,21,187"
581,"3,199,200,170,337,21,311"
582,"40,145,402,83,54"
583,"128,194,131,40,139,145,466"
584,"3,41,42,21,124"
585,"3,17,187,21"
586,"64,448,80,242,220"
587,"418,38,265,82,376"
588,"384,418,265,49,24"
589,"448,64,323,199,170,524,145"
590,"259,135,199,169,170,426,431,311"
591,"128,194,3,199,200,170,337,145,311"
592,"64,199,80,220,221,382"
593,"160,198,523,334,111,53"
594,"199,169,170,171,343"
595,"105,21,23,124,318"
596,"260,199,169,170,171"
597,"3,325,15,16,53"
598,"96,323,199,170,145,181,31"
599,"160,131,166,40,142,15,151"
600,"448,64,524,493,145"
601,"454,426,10,508,220,31"
602,"425,265,399,348,255"
603,"448,64,40,145,402"
604,"38,71,264,54,24,95"
605,"111,112,305,21,126"
606,"128,194,523,145,147,148,53"
607,"199,170,171,111,441,282"
608,"325,202,523,111,53"
609,"82,91,38,39"
610,"0,8,206,208,369"
611,"34,3,263,21,187"
612,"40,74,145,146,283"
613,"199,135,138,243,374,184"
614,"69,10,11,44,109"
615,"288,360,271,304,497,216"
616,"290,3,326,105,50,31"
617,"128,194,111,16,145,15,441"
618,"448,64,67,326,105,11,44"
619,"10,208,369,220,221"
620,"356,199,487,329,170,426"
621,"34,3,263,21,187"
622,"164,325,111,53,21,284"
623,"356,199,487,329,170,426"
624,"326,105,10,220,221"
625,"34,3,263,21,187"
626,"388,4,199,170,111,435,248"
627,"34,199,200,170,108,337,21,311,447"
628,"34,3,199,200,170,337,21,311,187"
629,"69,11,44,395,496,24,62"
630,"224,41,301,111,21,474"
631,"38,137,74,303,91"
632,"135,199,431,180,120,281"
633,"326,105,10,220,221"
634,"323,199,170,10,111,282,60"
635,"360,271,280,348,255"
636,"199,170,427,426,436,343"
637,"135,74,21,118,250,124"
638,"40,10,145,402,54"
639,"64,10,44,80,145,402"
640,"258,426,11,109,508,31"
641,"128,139,140,243,184,186"
642,"64,290,296,80,306,31"
643,"128,169,170,195"
644,"34,263,105,110,53,503"
645,"169,337,339,211,311,319"
646,"265,11,205,376,24,59"
647,"265,11,205,376,349"
648,"32,170,459,180,120,31"
649,"89,26,23"
650,"38,493,240,145,91"
651,"128,129,160,166,40,15,151"
652,"199,40,169,184,281"
653,"69,10,11,44,145,181,60"
654,"98,514,38,8,74,118"
655,"259,131,199,170,426,494,241,311,184"
656,"128,194,419,11,13,145,506"
657,"323,199,233,170,239,51,60"
658,"3,199,200,170,337,21,311"
659,"68,111,53,21,182,472"
660,"326,105,493,145,220,221"
661,"242,10,220,221"
662,"448,64,10,313,314,220"
663,"21,3,108,301"
664,"192,38,296,107,460"
665,"3,199,200,170,337,21,311"
666,"160,131,40,315,159"
667,"240,137,38,87"
668,"0,360,271,213,280,255"
669,"418,38,265,309,24,62"
670,"291,265,271,341,349"
671,"41,108,21,126,191"
672,"135,329,170,138,459"
673,"0,288,458,469,213,277"
674,"72,11,12,44,60,61"
675,"265,365,366,271,208,209"
676,"3,199,200,170,108,337,21,311"
677,"259,135,199,169,170,426,431,311"
678,"3,41,42,21,127"
679,"326,105,10,220,221"
680,"160,166,40,15,151,315"
681,"226,131,142,368,184"
682,"38,137,145,402,54,95"
683,"160,199,40,334,382"
684,"3,199,200,170,337,21,311"
685,"128,130,38,26,350,63"
686,"66,523,147,148,53,30"
687,"456,291,355,271"
688,"418,8,265,206,208,369"
689,"40,226,131,486"
690,"291,265,271,276,218,446"
691,"128,160,324,41,186,315"
692,"199,200,170,172,111,337,21,311,474"
693,"199,169,170,26,350"
694,"74,13,20,118,23"
695,"64,323,199,170,80,93"
696,"258,420,296,145,402,31"
697,"0,456,271,213,252"
698,"3,108,21,22"
699,"8,265,376,410,285"
700,"64,110,111,275,53,90"
701,"0,313,346,501"
702,"518,43,145,181,24,28"
703,"34,3,169,21,311,187"
704,"448,64,524,145,90"
705,"66,3,199,200,170,337,311,30"
706,"64,38,264,80,54,95"
707,"38,71,457,24,218,91"
708,"68,111,53,21,182,472"
709,"64,323,199,170,43,80,24"
710,"32,3,40,41,15,31"
711,"328,145,402,83,54,31"
712,"131,142,49,406,24"
713,"8,0,308,206"
714,"3,108,21,182"
715,"326,105,10,220,221"
716,"192,38,74,107,118"
717,"523,108,147,148,53,21"
718,"199,169,170,171,265,438"
719,"164,41,21,124,286"
720,"199,169,170,171,343"
721,"456,0,291,271"
722,"135,199,169,431,21,187"
723,"74,118,23,26,350"
724,"326,105,10,220,221"
725,"515,131,265,139,241,155"
726,"34,199,200,447,170,41,337,311,191"
727,"256,351,265,344,218,255"
728,"448,64,90,80"
729,"448,64,80,24,25"
730,"4,41,19,375,286"
731,"224,515,135,41,138,265"
732,"111,115,21,123,220,221"
733,"38,264,40,145,402"
734,"0,488,8,265,235"
735,"34,263,111,277,278,474"
736,"64,69,11,44,80,24,62"
737,"3,5,331,500,21,28"
738,"68,41,21,53,182,286"
739,"176,19,4,435"
740,"199,169,426,311,343"
741,"3,19,4"
742,"38,137,74,11,12,303"
743,"96,258,426,508,31"
744,"419,199,11,220,221,382"
745,"34,3,199,200,170,337,21,311,447"
746,"455,360,462,271,255"
747,"242,10,220,221"
748,"40,10,145,402,54"
749,"128,194,34,263,145,21,187"
750,"265,397,399,216,313,380"
751,"3,199,200,170,108,337,21,311"
752,"356,199,487,329,170,426"
753,"455,271,23,89,26"
754,"0,360,271,213,214,216"
755,"199,296,169,170,337,251"
756,"3,187,21,102"
757,"259,135,199,169,170,426,431,311"
758,"34,263,15,16,17,18"
759,"72,265,11,12,44,376"
760,"135,136,74,145,146,283"
761,"10,299,145,51,181,60"
762,"456,271,280,377,218,255"
763,"160,356,199,40,315"
764,"384,265,239,49,24,60"
765,"3,451,50,85,86"
766,"33,225,199,200,170,337,21,311,120"
767,"131,135,40,139,241,250"
768,"242,10,220,221"
769,"160,199,334,247,343"
770,"3,108,147,148,21"
771,"32,296,426,336,508,31"
772,"322,131,142,145,54,478"
773,"111,112,305,21,412"
774,"160,3,35,196,40"
775,"128,194,3,17,145,115,21"
776,"384,265,340,349"
777,"326,105,10,220,221"
778,"376,425,418,265"
779,"64,69,11,44,145,181,473"
780,"111,115,21,119,123"
781,"488,265,515,349"
782,"3,301,21,85,86"
783,"64,489,299,51,60,93"
784,"3,41,42,21,124"
785,"165,38,71,74,368,24,184"
786,"3,15,16,51,52"
787,"38,8,206,240,369,208"
788,"234,83,21,54,24,60,62"
789,"38,199,8,169,240,308"
790,"291,199,169,170,426,271,337,311,223"
791,"0,456,8,271,285"
792,"0,291,422,271,216"
793,"32,131,8,241,405,31"
794,"448,64,80,93"
795,"4,108,238,19,21"
796,"361,271,272,372,255"
797,"199,170,436,21,343,187"
798,"68,111,21,182,53,472"
799,"355,456,271,313,346"
800,"64,38,71,80,24,91"
801,"288,366,271,304,497,216"
802,"128,417,195,199,296,170,426,337,274,311"
803,"360,456,271,218,475"
804,"326,105,10,220,221"
805,"64,354,170,459,216,93"
806,"326,105,10,220,221"
807,"80,65,64,448"
808,"226,131,40,368,184"
809,"3,199,200,170,108,337,21,311"
810,"66,147,148,21,124,30"
811,"296,74,300,47,118,24"
812,"199,265,170,426,337,340,21,311,187,223"
813,"64,448,80,145,402"
814,"131,5,6,40,139,466"
815,"131,241,145,245,478,31"
816,"3,296,300,21,187"
817,"128,129,501,313,346"
818,"160,4,135,141,174,315"
819,"128,1,2,199,296,170,426,337,179,311,223"
820,"199,296,170,426,333,111,337,274,311,282"
821,"323,199,170,10,145,181,60"
822,"160,166,41,111,15,215,151,412"
823,"64,73,395,44,496,80"
824,"72,11,12,44,60,61"
825,"145,402,24,62,26,350"
826,"4,238,15,17,435,56"
827,"0,425,265,271,349"
828,"105,106,60,23,92"
829,"64,69,233,11,44,80,51"
830,"199,169,21,281,124"
831,"34,46,15,16,21,187"
832,"160,108,204,13,334,21"
833,"416,172,111,21,53,474"
834,"168,430,15,16,17,53"
835,"197,74,303,23,60"
836,"145,245,220,221,478,31"
837,"3,4,15,176,111,275"
838,"160,40,315,334"
839,"64,10,524,335,145"
840,"322,10,145,54,478"
841,"4,7,364,19,28"
842,"40,234,139,430,21,53,60"
843,"391,8,206,208,369"
844,"199,296,169,170,337,251"
845,"34,116,21,187,447"
846,"297,393,265,145,53,502"
847,"72,11,12,44,220,221"
848,"265,492,366,271,208,209"
849,"3,204,13,111,21,474"
850,"201,41,74,243,184,317"
851,"288,257,456,271,497,216"
852,"323,199,170,43,145,181,24"
853,"3,19,4,174"
854,"3,199,200,170,108,337,21,311"
855,"38,137,105,23,318"
856,"145,402,24,25,59"
857,"0,38,240,82,249"
858,"64,38,71,264,80,24"
859,"169,170,171,199"
860,"40,129,128"
861,"40,226,131,486"
862,"68,111,21,53,182,412"
863,"227,4,7,435,30"
864,"160,40,184,185,315"
865,"40,226,131"
866,"96,258,11,109,31"
867,"418,8,265,308,26,350"
868,"40,226,131,142"
869,"326,105,10,220,221"
870,"32,290,325,53,31"
871,"160,40,21,315,127"
872,"128,194,3,145,115,21"
873,"128,129,40,313,346"
874,"382,38,199,74,303,94"
875,"360,271,280,348,255"
876,"73,10,11,44,395,496"
877,"38,39,199,169,170,296,337,251"
878,"296,74,333,303,118"
879,"3,199,200,170,337,21,311,187"
880,"128,194,3,40,139,145,21"
881,"3,4,262,105,19"
882,"128,130,40,313,346"
883,"448,64,40,145,402"
884,"8,429,271,308,26,27"
885,"3,188,4,238"
886,"40,131,76,23"
887,"355,291,457,271,218"
888,"40,145,402,54,95"
889,"448,64,524,80,145"
890,"38,8,206,308,87"
891,"68,108,53,21,182"
892,"515,265,208,376,505"
893,"160,204,13,430,53,315"
894,"3,325,15,16,53"
895,"34,3,169,21,311,187"
896,"199,169,170,171,426,508"
897,"64,11,205,80,24,59"
898,"34,3,265,340,21,187"
899,"385,5,145,437,21,126"
900,"40,226,131,142"
901,"160,3,145,146,21,315"
902,"38,264,8,206,54,55"
903,"216,257,380,0"
904,"4,111,435,21,182,472"
905,"160,40,21,315,127"
906,"3,76,17,18,23"
907,"199,169,243,21,184,187"
908,"199,170,494,436,343,184"
909,"489,60,271,218,444,509"
910,"97,228,5,108,21"
911,"265,266,242,220,221"
912,"38,137,21,182,87"
913,"0,418,265,501,313"
914,"3,17,115,21"
